loc_id,symbol,world_x,world_y,level,local_x,local_z,shape,angle,region_x,region_y,region_label
1242,junglefloor2,2816,2944,0,0,0,22,3,44,46,Karamja North
1242,junglefloor2,2817,2944,0,1,0,22,3,44,46,Karamja North
1242,junglefloor2,2818,2944,0,2,0,22,3,44,46,Karamja North
1242,junglefloor2,2819,2944,0,3,0,22,2,44,46,Karamja North
1242,junglefloor2,2820,2944,0,4,0,22,3,44,46,Karamja North
1242,junglefloor2,2821,2944,0,5,0,22,3,44,46,Karamja North
1242,junglefloor2,2822,2944,0,6,0,22,3,44,46,Karamja North
1242,junglefloor2,2823,2944,0,7,0,22,3,44,46,Karamja North
1329,bamboo_tree_top,2823,2944,2,7,0,10,2,44,46,Karamja North
1242,junglefloor2,2825,2944,0,9,0,22,2,44,46,Karamja North
1329,bamboo_tree_top,2825,2944,3,9,0,10,3,44,46,Karamja North
1229,greenvine_end,2826,2944,0,10,0,22,1,44,46,Karamja North
1242,junglefloor2,2827,2944,0,11,0,22,0,44,46,Karamja North
1242,junglefloor2,2828,2944,0,12,0,22,1,44,46,Karamja North
1242,junglefloor2,2829,2944,0,13,0,22,2,44,46,Karamja North
1224,greenvine_junction,2830,2944,0,14,0,22,3,44,46,Karamja North
1222,greenvine_straight,2831,2944,0,15,0,22,0,44,46,Karamja North
1223,greenvine_corner,2832,2944,0,16,0,22,0,44,46,Karamja North
1329,bamboo_tree_top,2832,2944,3,16,0,10,1,44,46,Karamja North
1241,junglefloor1,2833,2944,0,17,0,22,3,44,46,Karamja North
1241,junglefloor1,2834,2944,0,18,0,22,3,44,46,Karamja North
1241,junglefloor1,2835,2944,0,19,0,22,3,44,46,Karamja North
1329,bamboo_tree_top,2835,2944,3,19,0,10,2,44,46,Karamja North
1242,junglefloor2,2836,2944,0,20,0,22,1,44,46,Karamja North
1225,greenvine_diag1,2837,2944,0,21,0,22,1,44,46,Karamja North
1228,greenvine_diagfiller,2838,2944,0,22,0,22,3,44,46,Karamja North
1329,bamboo_tree_top,2838,2944,3,22,0,10,2,44,46,Karamja North
1228,greenvine_diagfiller,2839,2944,0,23,0,22,0,44,46,Karamja North
1226,greenvine_diag2,2840,2944,0,24,0,22,1,44,46,Karamja North
1329,bamboo_tree_top,2840,2944,3,24,0,10,1,44,46,Karamja North
1226,greenvine_diag2,2841,2944,0,25,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2841,2944,0,25,0,0,1,44,46,Karamja North
1229,greenvine_end,2842,2944,0,26,0,22,1,44,46,Karamja North
1772,wood_wall_barricader,2842,2944,0,26,0,0,1,44,46,Karamja North
1241,junglefloor1,2843,2944,0,27,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2843,2944,0,27,0,0,1,44,46,Karamja North
1222,greenvine_straight,2844,2944,0,28,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2844,2944,0,28,0,0,1,44,46,Karamja North
1228,greenvine_diagfiller,2845,2944,0,29,0,22,0,44,46,Karamja North
1772,wood_wall_barricader,2845,2944,0,29,0,0,1,44,46,Karamja North
1225,greenvine_diag1,2846,2944,0,30,0,22,0,44,46,Karamja North
1772,wood_wall_barricader,2846,2944,0,30,0,0,1,44,46,Karamja North
1224,greenvine_junction,2847,2944,0,31,0,22,0,44,46,Karamja North
1772,wood_wall_barricader,2847,2944,0,31,0,0,1,44,46,Karamja North
1329,bamboo_tree_top,2847,2944,3,31,0,10,2,44,46,Karamja North
1225,greenvine_diag1,2848,2944,0,32,0,22,2,44,46,Karamja North
1772,wood_wall_barricader,2848,2944,0,32,0,0,1,44,46,Karamja North
1228,greenvine_diagfiller,2849,2944,0,33,0,22,2,44,46,Karamja North
1772,wood_wall_barricader,2849,2944,0,33,0,0,1,44,46,Karamja North
1241,junglefloor1,2850,2944,0,34,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2850,2944,0,34,0,0,1,44,46,Karamja North
1241,junglefloor1,2851,2944,0,35,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2851,2944,0,35,0,0,1,44,46,Karamja North
1241,junglefloor1,2852,2944,0,36,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2852,2944,0,36,0,0,1,44,46,Karamja North
1329,bamboo_tree_top,2852,2944,3,36,0,10,3,44,46,Karamja North
1242,junglefloor2,2853,2944,0,37,0,22,1,44,46,Karamja North
1772,wood_wall_barricader,2853,2944,0,37,0,0,1,44,46,Karamja North
1241,junglefloor1,2854,2944,0,38,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2854,2944,0,38,0,0,1,44,46,Karamja North
1241,junglefloor1,2855,2944,0,39,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2855,2944,0,39,0,0,1,44,46,Karamja North
1241,junglefloor1,2856,2944,0,40,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2856,2944,0,40,0,0,1,44,46,Karamja North
1241,junglefloor1,2857,2944,0,41,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2857,2944,0,41,0,0,1,44,46,Karamja North
1241,junglefloor1,2858,2944,0,42,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2858,2944,0,42,0,0,1,44,46,Karamja North
1241,junglefloor1,2859,2944,0,43,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2859,2944,0,43,0,0,1,44,46,Karamja North
1241,junglefloor1,2860,2944,0,44,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2860,2944,0,44,0,0,1,44,46,Karamja North
1241,junglefloor1,2861,2944,0,45,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2861,2944,0,45,0,0,1,44,46,Karamja North
1329,bamboo_tree_top,2861,2944,2,45,0,10,0,44,46,Karamja North
1241,junglefloor1,2862,2944,0,46,0,22,3,44,46,Karamja North
1772,wood_wall_barricader,2862,2944,0,46,0,0,1,44,46,Karamja North
1242,junglefloor2,2863,2944,0,47,0,22,0,44,46,Karamja North
1772,wood_wall_barricader,2863,2944,0,47,0,0,1,44,46,Karamja North
1241,junglefloor1,2864,2944,0,48,0,22,1,44,46,Karamja North
1241,junglefloor1,2865,2944,0,49,0,22,1,44,46,Karamja North
1241,junglefloor1,2866,2944,0,50,0,22,1,44,46,Karamja North
1241,junglefloor1,2867,2944,0,51,0,22,1,44,46,Karamja North
1243,junglefloor3,2868,2944,0,52,0,22,1,44,46,Karamja North
1242,junglefloor2,2869,2944,0,53,0,22,3,44,46,Karamja North
1771,wood_wall_barricadel,2869,2944,0,53,0,9,3,44,46,Karamja North
1242,junglefloor2,2870,2944,0,54,0,22,3,44,46,Karamja North
1400,jungleplant1_karamja,2870,2944,0,54,0,10,3,44,46,Karamja North
1771,wood_wall_barricadel,2870,2944,0,54,0,0,3,44,46,Karamja North
1242,junglefloor2,2871,2944,0,55,0,22,3,44,46,Karamja North
1771,wood_wall_barricadel,2871,2944,0,55,0,0,3,44,46,Karamja North
1771,wood_wall_barricadel,2871,2944,0,55,0,9,3,44,46,Karamja North
1771,wood_wall_barricadel,2872,2944,0,56,0,0,3,44,46,Karamja North
1772,wood_wall_barricader,2873,2944,0,57,0,9,0,44,46,Karamja North
1772,wood_wall_barricader,2874,2944,0,58,0,0,1,44,46,Karamja North
1772,wood_wall_barricader,2875,2944,0,59,0,0,1,44,46,Karamja North
1242,junglefloor2,2889,2944,0,9,0,22,2,45,46,Karamja East
1229,greenvine_end,2890,2944,0,10,0,22,1,45,46,Karamja East
1242,junglefloor2,2891,2944,0,11,0,22,0,45,46,Karamja East
1243,junglefloor3,2893,2944,0,13,0,22,1,45,46,Karamja East
1242,junglefloor2,2894,2944,0,14,0,22,1,45,46,Karamja East
